,url,comment,page_file
36567,/comment/36567,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-3.json
36570,/comment/36570,"I  am in support of the continuation of cottages at Rondeau Park for the future.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. I feel that this lease extension should be granted automatically to all existing leaseholders and during this time a permanent solution that will ensure the cottage community remains here for the future be reached.A permanent solution would be in the interests of all involved as it will allow the necessary improvements be made by cottagers rather than short term solutions.  If a permanent solution can reached prior to the ending three-year deadline, I am in support of it being implemented as soon as possible.
",comments-3.json
36571,/comment/36571,"I strongly support the proposed three-year lease extension as described in ERO Policy Proposal 019-0907. I further support the intent that this extension time frame be used to reach a permanent solution for the cottage community, and if permanent solution is reached prior to the three-year deadline, that this be implemented as soon as possible.
",comments-3.json
36572,/comment/36572,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-3.json
36574,/comment/36574,"I support the continued 3 year lease extension for Rondeau Park Leaseholder's (ERO policy proposal 019-0907). I believe it should apply to all Leaseholder's automatically. If a permanent solution is reached prior to the 3 year deadline, I believe it should be implemented as soon as possible. Thank you.
",comments-3.json
36576,/comment/36576,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-3.json
36578,/comment/36578,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-3.json
36581,/comment/36581,"The Rondeau cottage community has been in existence in Rondeau Provincial Park for over a century. Within that time, this community has become a major heritage, cultural and economic contributor to both the park and the broader community within the Municipality of Chatham Kent. Also within that time frame, cottagers, together with ministry staff, have made significant progress in enhancing the environmental integrity of Rondeau Park just as they have in other parks in Ontario such as the Kawartha Highlands Provincial Park. I would like to express my support for the three year lease extension for the Rondeau cottagers and hope that during this time frame a timely solution, which satisfies all interests, will provide for the continuation of this community in perpetuity. Thanks for the opportunity to contribute to this discussion.
",comments-3.json
36582,/comment/36582,"I am commenting on  019-0907
I  implore the ministry to APPROVE the 3 year extension for cottagers at Rondeau Park. The ministry should also provide the cottagers a permanent lease or even consider selling them the lots they are on.
The cottagers at Rondeau are not only an part of the history of Ontario, they are part of the original vision and have demonstrated themselves as an integral part of the protection of the environment of the park. The cottagers have demonstrated leadership and stewardship in educating others as to how people can co-mingle with the environment (with a minimal impact footprint) should be used as a model for communities everywhere.  Rondeau cottagers have generations of families, friends, citizens of Ontario and even from around the world that continue to demonstrate how nature and mankind can work in service and protection of each other. Interestingly enough, the one constant for protection of the park has been the cottager families who have been there for generations regardless of changes in government or park leadership.  Rondeau Park Cottagers are proud as protectors and often find themselves acting as ambassadors for the park. Any consideration regarding the removal of this important legacy would be a major step backward in stewardship and protection for the long term.
",comments-3.json
36583,/comment/36583,"I support the continuation of the Rondeau cottage community in perpetuity. I support the three- year lease extension as described in ERO Policy Proposal  019-0907. This lease should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever. If a permanent solution is reached prior to the three -year deadline, I support it being implemented as soon as possible.
",comments-3.json
