ADDRESSNUM,ADDRESSSTR,ASSETTYPE,SIDE,WARD,Lon,Lat
18,Church St,Post & Ring,West,28,-79.37364578,43.647969745733946
1120,Dundas St E,Post & Ring,North,30,-79.34343338,43.66408424404304
391,Yonge St,Post & Ring,South,27,-79.38162804,43.65908579683591
560,Dundas St W,Post & Ring,North,20,-79.39965248,43.652627559492544
1727,Eglinton Ave W,Post & Ring,South,15,-79.44681644,43.696331295368594
217,Jarvis St,Post & Ring,East,27,-79.37403202,43.65604306000549
932,Yonge St,Post & Ring,West,27,-79.38858032,43.67442132675981
44,St George St,Post & Ring,South,20,-79.39759254,43.66020349817268
2,Queen St E,Post & Ring,North,27,-79.37746525,43.652844915312784
501,Dundas St W,Post & Ring,South,20,-79.39772129,43.65293806756634
114,Carlton St,Post & Ring,West,27,-79.37690735,43.662563021555485
80A,Spadina Ave,Post & Ring,West,20,-79.39553261,43.646199681793775
66,Maitland St,Post & Ring,North,27,-79.38081264,43.66464305078611
1955,Yonge St,Post & Ring,North,22,-79.39669132,43.69943404332716
119-125,Spadina Ave,Post & Ring,East,20,-79.39544678,43.64706919340517
78,Victoria St,Post & Ring,West,28,-79.37772274,43.65163392286786
1005,King St W,Post & Ring,South,19,-79.41402912,43.641541369552925
617,Spadina Ave,Post & Ring,North,20,-79.40162659,43.66231465503992
211,Queens Quay W,Post & Ring,South,20,-79.38137054,43.639522655404164
338,Harbord St,Post & Ring,North,19,-79.41943645,43.65961360283774
55,Bond St,Post & Ring,East,27,-79.37729359,43.65405588333908
55,Bloor St W,Post & Ring,East,27,-79.38909531,43.66914435982358
420,Huron St,Post & Ring,West,20,-79.40141201,43.66666092071753
335,Bremner Blvd,Post & Ring,West,20,-79.39171314,43.64101340471021
270,Gerrard St E,Post & Ring,North,28,-79.36815262,43.662159425445935
242 1/2,Queen St E,Post & Ring,North,28,-79.36841011,43.65480108229508
195B,Dundas St W,Post & Ring,East,27,-79.38729286,43.65520472786852
418,Spadina Rd,Post & Ring,West,21,-79.41282749,43.68885301306321
20,John St,Rack,West,20,-79.38896656,43.644553786069054
56,Dan Leckie Way,Post & Ring,North,20,-79.39806461,43.63821821941934
1984A,Queen St E,Post & Ring,North,32,-79.30056095,43.66998249733081
1194,Queen St W,Post & Ring,North,18,-79.42643166,43.64272150948369
60,Wolseley St,Post & Ring,North,20,-79.4027853,43.64837343722266
483,Bloor St W,Post & Ring,West,20,-79.40737724,43.66563647
