comments,id,issues,latitude,longitude,parking_duration,parking_time,issue_not_provided,issue_full,issue_damaged,issue_abandoned,issue_other,Status,Notes,View,Survey Date
,97,['damaged'],43.63973035,-79.38125975,hours,"Wed, 27 Jun 2018 00:15:38 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
Great application.  Easy to use.  ,98,['not_provided'],43.65289197,-79.37070455,hours,"Tue, 26 Jun 2018 14:07:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,99,['not_provided'],43.64841539,-79.39251436,hours,"Wed, 27 Jun 2018 15:48:33 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,100,['other'],43.6564203,-79.383435,overnight,"Thu, 28 Jun 2018 20:03:06 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
Broken post and ring at 990 Bloor Street West.,101,['damaged'],43.66113538,-79.43001356,multiday,"Fri, 29 Jun 2018 15:59:49 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
"several bikes outside the Subway sandwich shop have been abandoned and are in a state of disrepair, taking up the side walk and stopping people from actually using the locks",102,['damaged'],43.68175253,-79.42609485,hours,"Fri, 29 Jun 2018 22:51:37 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,104,['not_provided'],43.6580617,-79.3864974,minutes,"Thu, 05 Jul 2018 17:02:48 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
Shortage of parking outside St Lawrence market. ,105,"['full', 'not_provided']",43.64882081,-79.3717676,hours,"Thu, 05 Jul 2018 23:23:00 GMT",TRUE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,106,['damaged'],43.6929846,-79.3024982,hours,"Sat, 07 Jul 2018 19:44:11 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,107,"['damaged', 'damaged', 'full']",43.6580617,-79.3864974,minutes,"Sun, 08 Jul 2018 20:44:27 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,,Issue selected more than once,🌎👀,
"There is some parking between manning and Clinton, but clearly not enough. Ring and posts are full and bikes are locked to various other structures. ",108,"['full', 'damaged']",43.6639729,-79.4167488,hours,"Wed, 11 Jul 2018 22:18:47 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,,,🌎👀,
"There seems to be no biking parking at all at the beach by the Scarborough bluffs, we had to lock our bikes to trees/sign posts.",109,['not_provided'],43.71296063,-79.22859039,hours,"Sun, 08 Jul 2018 17:35:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,110,['full'],43.66199303,-79.40188523,hours,"Fri, 13 Jul 2018 00:45:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
