"id","latitude","longitude","survey"
633,43.6799055,-79.34501119999999,"{""map"": [[43.6799055, -79.34501119999999]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-07T21:53:46.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
637,43.6657913,-79.4206001,"{""map"": [[43.6657913, -79.4206001]], ""picture"": null, ""comments"": ""Christie pits public pool"", ""happening"": [{""date"": ""2018-07-08T21:25:20.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""full""]}"
651,43.653148140648774,-79.3978270508789,"{""map"": [[43.653148140648774, -79.3978270508789]], ""picture"": null, ""comments"": ""Was trying to park on the east side of Spadina north of Dundas. There are only a few ring and posts near the intersection. I wound up walking a while north to find something. "", ""happening"": [{""date"": ""2018-07-05T21:00:00.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""full""]}"
655,43.6663814,-79.37235989999999,"{""map"": [[43.6663814, -79.37235989999999]], ""picture"": null, ""comments"": ""Kendall and spading. No Post & Rings near the alliance francaise.\n \n\n\nTV "", ""happening"": [{""date"": ""2018-07-13T19:53:57.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
398,43.6695898,-79.40904369999998,"{""map"": [[43.6695898, -79.40904369999998], [43.6695898, -79.40904369999998]], ""picture"": null, ""happening"": [{""date"": ""2018-06-06T20:05:01.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""other""]}"
424,43.4627162,-80.54405320000001,"{""map"": [[43.4627162, -80.54405320000001]], ""picture"": null, ""happening"": [{""date"": ""2018-06-09T17:49:21.000Z"", ""time"": [""days""]}], ""problem_type"": [""badly""]}"
437,43.6155885,-79.55595360000001,"{""map"": [[43.6155885, -79.55595360000001]], ""picture"": null, ""happening"": [{""date"": ""2018-06-11T15:32:12.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
450,43.6398498,-79.3811121,"{""map"": [[43.6398498, -79.3811121]], ""picture"": null, ""happening"": [{""date"": ""2018-06-13T00:18:59.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
1360,43.671871498871596,-79.38720232669584,"{""map"": [[43.671871498871596, -79.38720232669584]], ""picture"": null, ""comments"": ""There’s never enough bike parking here. \n"", ""location"": ""Yonge Street"", ""happening"": [{""date"": ""2019-06-05T23:24:15.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
1402,43.60416619310981,-79.51863683849729,"{""map"": [[43.60416619310981, -79.51863683849729]], ""picture"": null, ""comments"": """", ""location"": ""New Toronto Street"", ""happening"": [{""date"": ""2019-07-29T20:55:18.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
500,43.65353145559479,-79.37130575529471,"{""map"": [[43.65353145559479, -79.37130575529471]], ""picture"": null, ""happening"": [{""date"": ""2018-06-18T19:17:55.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly"", ""full""]}"
512,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974], [43.6580617, -79.3864974], [43.64646060525557, -79.38781000603666]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:17:32.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""full""]}"
522,43.6395299,-79.38109229999998,"{""map"": [[43.6395299, -79.38109229999998], [43.6395348, -79.38114519999999]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:40:26.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly""]}"
