,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SITE_ADDRESS_x,WARD,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,bike_parking_indoor,bike_parking_outdoor,SITE_ADDRESS_y,LATITUDE,LONGITUDE,geometry,ward_code,ward_name,ward_full,neighbourhood_number,neighbourhood_name,neighbourhood_classification,neighbourhood_classification_code,BICYCLE_ZONE,short_term_min,short_term_max,long_term,short_term_min_unmet,short_term_max_unmet,long_term_unmet,total_unmet_min,total_req_min,pc_unmet
2402,30 indoor parking spots and 0 outdoor parking spots,18,139,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,4156293,111  RIDELLE AVE ,08,1967,2011,2017,30,0,111 RIDELLE AVE,43.7043088813,-79.4391249601,POINT (-79.4391249601 43.7043088813),08,Eglinton-Lawrence,Eglinton-Lawrence (08),102,Forest Hill North,Not an NIA or Emerging Neighbourhood,NA,1,14,28,126,14,28,96,110,140,0.7857142857142857
2403,20 indoor parking spots and 0 outdoor parking spots,3,37,HOLLYBURN PROPERTIES LTD,PRIVATE,4156294,90  HEATH ST W,12,1959,2016,2017,20,0,90 HEATH ST W,43.689842541,-79.398960779,POINT (-79.398960779 43.689842541),12,Toronto-St. Paul's,Toronto-St. Paul's (12),097,Yonge-St.Clair,Not an NIA or Emerging Neighbourhood,NA,1,4,8,34,4,8,14,18,38,0.47368421052631576
2404,Not Available,12,200,GREENWIN ICORP.,PRIVATE,4152816,550  SCARBOROUGH GOLF CLUB RD ,24,1960,2008,2017,,,550 SCARBOROUGH GOLF CLUB RD,43.7607487105,-79.2171129347,POINT (-79.2171129347 43.7607487105),24,Scarborough-Guildwood,Scarborough-Guildwood (24),141,Golfdale-Cedarbrae-Woburn,Neighbourhood Improvement Area,NIA,2,8,15,136,8,15,136,144,144,1.0
2405,0 indoor parking spots and 8 outdoor parking spots,6,100,METCAP LIVING MANAGEMENT INC,PRIVATE,4152817,70  STEVENVALE DR ,24,1963,,2017,0,8,70 STEVENVALE DR,43.7589413888,-79.2213676768,POINT (-79.2213676768 43.7589413888),24,Scarborough-Guildwood,Scarborough-Guildwood (24),141,Golfdale-Cedarbrae-Woburn,Neighbourhood Improvement Area,NIA,2,4,8,68,-4,0,68,64,72,0.8888888888888888
2406,Not Available,13,165,METCAP LIVING MANAGEMENT INC,PRIVATE,4152833,750  MORNINGSIDE AVE ,24,1973,2012,2017,,,750 MORNINGSIDE AVE,43.788199734,-79.195048036,POINT (-79.195048036 43.788199734),24,Scarborough-Guildwood,Scarborough-Guildwood (24),135,Morningside,Neighbourhood Improvement Area,NIA,2,6,12,113,6,12,113,119,119,1.0
2407,0 indoor parking spots and 8 outdoor parking spots,14,220,CAPREIT,PRIVATE,4152845,4010  LAWRENCE AVE E,24,1967,,2017,0,8,4010 LAWRENCE AVE E,43.7667315745,-79.1988475843,POINT (-79.1988475843 43.7667315745),24,Scarborough-Guildwood,Scarborough-Guildwood (24),136,West Hill,Neighbourhood Improvement Area,NIA,2,8,16,150,0,8,150,150,158,0.9493670886075949
2408, indoor parking spots and  outdoor parking spots,3,11,,PRIVATE,4154439,2988  KEELE ST ,06,1954,,,,,2988 KEELE ST,43.736204601,-79.484886345,POINT (-79.484886345 43.736204601),06,York Centre,York Centre (06),155,Downsview,Neighbourhood Improvement Area,NIA,2,1,1,8,1,1,8,9,9,1.0
2409,Not Available,3,12,,PRIVATE,4154441,2954  KEELE ST ,06,1954,,2017,,,2954 KEELE ST,43.735338064,-79.484558662,POINT (-79.484558662 43.735338064),06,York Centre,York Centre (06),155,Downsview,Neighbourhood Improvement Area,NIA,2,1,1,9,1,1,9,10,10,1.0
2410,Not Available,4,59,3250 KEELE APARTMENTS INC,PRIVATE,4154444,3250  KEELE ST ,06,1963,2016,2017,,,3250 KEELE ST,43.7419180472,-79.4861318994,POINT (-79.4861318994 43.7419180472),06,York Centre,York Centre (06),155,Downsview,Neighbourhood Improvement Area,NIA,2,3,5,41,3,5,41,44,44,1.0
2411,Not Available,4,87,GOLDEN EQUITY PROPERTIES ,PRIVATE,4154450,2  DORADO CRT ,06,1958,,2019,,,2 DORADO CRT,43.7384416423,-79.4861508679,POINT (-79.4861508679 43.7384416423),06,York Centre,York Centre (06),155,Downsview,Neighbourhood Improvement Area,NIA,2,4,7,60,4,7,60,64,64,1.0
2412,Not Available,3,46,DAVPART INC,PRIVATE,4154452,111  WHITBURN CRES ,06,1977,,2017,,,111 WHITBURN CRES,43.7385153084,-79.4915401712,POINT (-79.4915401712 43.7385153084),06,York Centre,York Centre (06),155,Downsview,Neighbourhood Improvement Area,NIA,2,2,4,32,2,4,32,34,34,1.0
2413,Not Available,9,141,BRIARLANE RENTAL PROPERTY MANAGEMENT INC.,PRIVATE,4154455,3400  KEELE ST ,06,1967,2010,2017,,,3400 KEELE ST,43.748015635,-79.487900293,POINT (-79.487900293 43.748015635),06,York Centre,York Centre (06),027,York University Heights,Neighbourhood Improvement Area,NIA,2,5,10,96,5,10,96,101,101,1.0
2414,Not Available,11,258,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,4154456,3390  KEELE ST ,06,1965,2017,2017,,,3390 KEELE ST,43.746940764,-79.488468802,POINT (-79.488468802 43.746940764),06,York Centre,York Centre (06),027,York University Heights,Neighbourhood Improvement Area,NIA,2,10,19,176,10,19,176,186,186,1.0
2415,Not Available,3,11,,PRIVATE,4820405,2513  LAKE SHORE BLVD W,03,1950,,2022,,,2513 LAKE SHORE BLVD W,43.6117781476,-79.4895548881,POINT (-79.4895548881 43.6117781476),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),161,Humber Bay Shores,Not an NIA or Emerging Neighbourhood,NA,2,1,1,8,1,1,8,9,9,1.0
2416,Not Available,4,44,GILINDO MARCOCCHIO LIMITED,PRIVATE,4356717,177  STEPHEN DR ,03,1954,2018,2018,,,177 STEPHEN DR,43.639915397,-79.487892324,POINT (-79.487892324 43.639915397),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,2,4,30,2,4,30,32,32,1.0
2417,20 indoor parking spots and 0 outdoor parking spots,7,64,REALSTAR,PRIVATE,4475546,763  WOODBINE AVE ,19,2016,,2019,20,0,763 WOODBINE AVE,43.680812660858656,-79.31048999576761,POINT (-79.31048999576761 43.680812660858656),19,Beaches-East York,Beaches-East York (19),062,East End-Danforth,Not an NIA or Emerging Neighbourhood,NA,1,7,13,58,7,13,38,45,65,0.6923076923076923
2418,Not Available,3,11,DMS PROPERTY MANAGEMENT LTD,PRIVATE,4327367,12  ROSSEAU RD ,06,1949,,2018,,,12 ROSSEAU RD,43.742014423,-79.4373039157,POINT (-79.4373039157 43.742014423),06,York Centre,York Centre (06),033,Clanton Park,Not an NIA or Emerging Neighbourhood,NA,2,1,1,8,1,1,8,9,9,1.0
