,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SITE_ADDRESS_x,WARD,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,bike_parking_indoor,bike_parking_outdoor,SITE_ADDRESS_y,LATITUDE,LONGITUDE,geometry,ward_code,ward_name,ward_full,neighbourhood_number,neighbourhood_name,neighbourhood_classification,neighbourhood_classification_code,BICYCLE_ZONE,short_term_min,short_term_max,long_term,short_term_min_unmet,short_term_max_unmet,long_term_unmet,total_unmet_min,total_req_min,pc_unmet
2973,Not Available,4,37,FIRM CAPITAL PROPERTIES INC,PRIVATE,4153831,77  ERSKINE AVE ,15,1956,,2017,,,77 ERSKINE AVE,43.711378231,-79.396038937,POINT (-79.396038937 43.711378231),15,Don Valley West,Don Valley West (15),173,North Toronto,Not an NIA or Emerging Neighbourhood,NA,1,4,8,34,4,8,34,38,38,1.0
2974,Not Available,3,11,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152619,23  ENGELHART CRES ,20,1956,,2017,,,23 ENGELHART CRES,43.7223884038,-79.2991027155,POINT (-79.2991027155 43.7223884038),20,Scarborough Southwest,Scarborough Southwest (20),120,Clairlea-Birchmount,Not an NIA or Emerging Neighbourhood,NA,2,1,1,8,1,1,8,9,9,1.0
2975,Not Available,3,10,,PRIVATE,4154215,1746  WILSON AVE ,07,1964,,2017,,,1746 WILSON AVE,43.7197813249,-79.5153042212,POINT (-79.5153042212 43.7197813249),07,Humber River-Black Creek,Humber River-Black Creek (07),154,Oakdale-Beverley Heights,Neighbourhood Improvement Area,NIA,2,1,1,7,1,1,7,8,8,1.0
2976,Not Available,4,144,PSN PROPERTIES INC. ,PRIVATE,4154229,2770  JANE ST ,07,1968,,2017,,,2770 JANE ST,43.7474006174,-79.5159466744,POINT (-79.5159466744 43.7474006174),07,Humber River-Black Creek,Humber River-Black Creek (07),025,Glenfield-Jane Heights,Neighbourhood Improvement Area,NIA,2,6,11,98,6,11,98,104,104,1.0
2977,0 indoor parking spots and 20 outdoor parking spots,13,170,CANDO APARTMENTS LTD.,PRIVATE,4154721,6161  BATHURST ST ,18,1960,2009,2017,0,20,6161 BATHURST ST,43.7888662031,-79.4463491989,POINT (-79.4463491989 43.7888662031),18,Willowdale,Willowdale (18),036,Newtonbrook West,Not an NIA or Emerging Neighbourhood,NA,2,6,12,116,-14,-8,116,102,122,0.8360655737704918
2978,3 indoor parking spots and 5 outdoor parking spots,4,26,RONCI MANAGEMENT ,PRIVATE,4155237,8  NEWHOLM RD ,03,1958,,2017,3,5,8 NEWHOLM RD,43.6354822227,-79.4882224103,POINT (-79.4882224103 43.6354822227),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,18,-4,-3,15,11,19,0.5789473684210527
2979,Not Available,4,32,NORTHVIEW APARTMENT REIT,PRIVATE,4155239,317  PARK LAWN RD ,03,1953,,2017,,,317 PARK LAWN RD,43.635649636,-79.4928351959,POINT (-79.4928351959 43.635649636),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,2,3,22,2,3,22,24,24,1.0
2980,Not Available,4,50,CANDO APARTMENTS,PRIVATE,4155241,183  BERRY RD ,03,1954,,2022,,,183 BERRY RD,43.636390118,-79.4911570627,POINT (-79.4911570627 43.636390118),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,2,4,34,2,4,34,36,36,1.0
2981,Not Available,4,23,MRF RIDLEY INC.,PRIVATE,4155242,10  KINSDALE BLVD ,03,1959,,2017,,,10 KINSDALE BLVD,43.635816472,-79.491575949,POINT (-79.491575949 43.635816472),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,16,1,2,16,17,17,1.0
2982,Not Available,4,23,,PRIVATE,4155244,179  BERRY RD ,03,1953,,2017,,,179 BERRY RD,43.6366442394,-79.4899445536,POINT (-79.4899445536 43.6366442394),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,16,1,2,16,17,17,1.0
2983,Not Available,4,23,,PRIVATE,4155245,177  BERRY RD ,03,1965,,2017,,,177 BERRY RD,43.6368219752,-79.4892158365,POINT (-79.4892158365 43.6368219752),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,16,1,2,16,17,17,1.0
2984,Not Available,4,26,H & R PROPERTY MANAGEMENT LTD,PRIVATE,4155249,135  STEPHEN DR ,03,1959,2007,2017,,,135 STEPHEN DR,43.6383454024,-79.4871784566,POINT (-79.4871784566 43.6383454024),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,18,1,2,18,19,19,1.0
2985,Not Available,4,24,EQUITY RESIDENTIAL INC,PRIVATE,4155251,159  STEPHEN DR ,03,1960,,2017,,,159 STEPHEN DR,43.6389598462,-79.4872934251,POINT (-79.4872934251 43.6389598462),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,17,1,2,17,18,18,1.0
2986,Not Available,4,24,DRAGAN ENTERPRISES LTD.,PRIVATE,4155254,2  BASKING RIDGE  ,03,1956,,2017,,,2 BASKING RIDGE,43.637708415,-79.493537791,POINT (-79.493537791 43.637708415),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,17,1,2,17,18,18,1.0
2987,Not Available,4,38,HASOULAS PROPERTY MANAGEMENT CORPORATION HPHC,PRIVATE,4155256,3  HILL HEIGHTS RD ,03,1962,,2017,,,3 HILL HEIGHTS RD,43.6382045659,-79.4931680835,POINT (-79.4931680835 43.6382045659),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,2,3,26,2,3,26,28,28,1.0
2988,Not Available,3,31,IMPERRA GENERAL MANAGEMENT,PRIVATE,4155829,2676  YONGE ST ,08,1940,,2017,,,2674 YONGE ST,43.716818521,-79.400781113,POINT (-79.400781113 43.716818521),08,Eglinton-Lawrence,Eglinton-Lawrence (08),103,Lawrence Park South,Not an NIA or Emerging Neighbourhood,NA,1,4,7,28,4,7,28,32,32,1.0
2989,Not Available,16,171,CANDO APARTMENTS LTD.,PRIVATE,4155838,2960  DON MILLS RD W,17,1960,2009,2017,,,2960 DON MILLS RD W,43.781329305,-79.352683264,POINT (-79.352683264 43.781329305),17,Don Valley North,Don Valley North (17),047,Don Valley Village,Not an NIA or Emerging Neighbourhood,NA,2,6,12,117,6,12,117,123,123,1.0
2990,Not Available,3,16,KROMA MANAGEMENT LIMITED,PRIVATE,4155843,3214  ST CLAIR AVE E,20,1952,,2017,,,3214 ST CLAIR AVE E,43.710358471,-79.290289103,POINT (-79.290289103 43.710358471),20,Scarborough Southwest,Scarborough Southwest (20),120,Clairlea-Birchmount,Not an NIA or Emerging Neighbourhood,NA,2,1,2,11,1,2,11,12,12,1.0
2991,20 indoor parking spots and 15 outdoor parking spots,26,201,VERTICA RESIDENT SERVICES,PRIVATE,4155848,35  HIGH PARK AVE ,04,1969,2013,2017,20,15,35 HIGH PARK AVE,43.6547264051,-79.4652848769,POINT (-79.4652848769 43.6547264051),04,Parkdale-High Park,Parkdale-High Park (04),088,High Park North,Not an NIA or Emerging Neighbourhood,NA,1,21,41,181,6,26,161,167,202,0.8267326732673267
2992,Not Available,4,40,,SOCIAL HOUSING,4169166,1674  EGLINTON AVE W,08,1960,,2017,,,1674 EGLINTON AVE W,43.6970039967,-79.4454317501,POINT (-79.4454317501 43.6970039967),08,Eglinton-Lawrence,Eglinton-Lawrence (08),108,Briar Hill-Belgravia,Not an NIA or Emerging Neighbourhood,NA,1,4,8,36,4,8,36,40,40,1.0
2993,Not Available,3,19,,PRIVATE,4170952,330  AVENUE RD ,12,1925,,2017,,,330 AVENUE RD,43.680535547,-79.399334602,POINT (-79.399334602 43.680535547),12,Toronto-St. Paul's,Toronto-St. Paul's (12),096,Casa Loma,Not an NIA or Emerging Neighbourhood,NA,1,2,4,18,2,4,18,20,20,1.0
2994, indoor parking spots and  outdoor parking spots,3,22,,PRIVATE,4171348,3488  YONGE ST ,08,1937,,,,,3488 YONGE ST,43.735134254,-79.405173359,POINT (-79.405173359 43.735134254),08,Eglinton-Lawrence,Eglinton-Lawrence (08),105,Lawrence Park North,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,1,2,15,16,16,1.0
2995,Not Available,5,61,PARKETTE PLACE APTS INC.,PRIVATE,4152577,25  PARKETTE PL ,20,1959,,2017,,,25 PARKETTE PL,43.6960744656,-79.2646078047,POINT (-79.2646078047 43.6960744656),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,3,5,42,3,5,42,45,45,1.0
2996,Not Available,7,49,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,4153372,82  WARREN RD ,12,1965,2015,2017,,,82 WARREN RD,43.6853486337,-79.4067397267,POINT (-79.4067397267 43.6853486337),12,Toronto-St. Paul's,Toronto-St. Paul's (12),096,Casa Loma,Not an NIA or Emerging Neighbourhood,NA,1,5,10,45,5,10,45,50,50,1.0
2997,Not Available,11,150,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4153378,575  ADELAIDE ST W,10,1983,2005,2017,,,575 ADELAIDE ST W,43.6445845561,-79.40368311,POINT (-79.40368311 43.6445845561),10,Spadina-Fort York,Spadina-Fort York (10),162,West Queen West,Not an NIA or Emerging Neighbourhood,NA,1,15,30,135,15,30,135,150,150,1.0
2998,Not Available,4,46,PAR-MED PROPERTY SERVICES INC. ,SOCIAL HOUSING,4153380,163  PORTLAND ST ,10,1991,2017,2020,,,163 PORTLAND ST,43.647261855,-79.400907613,POINT (-79.400907613 43.647261855),10,Spadina-Fort York,Spadina-Fort York (10),164,Wellington Place,Not an NIA or Emerging Neighbourhood,NA,1,5,10,42,5,10,42,47,47,1.0
2999,Not Available,9,48,GATEWAY PROPERTY MANAGEMENT CORPORATION,PRIVATE,4153927,135  LAWTON BLVD ,12,1960,2005,2017,,,135 LAWTON BLVD,43.6949094496,-79.3968815347,POINT (-79.3968815347 43.6949094496),12,Toronto-St. Paul's,Toronto-St. Paul's (12),097,Yonge-St.Clair,Not an NIA or Emerging Neighbourhood,NA,1,5,10,44,5,10,44,49,49,1.0
3000,Not Available,3,31,BRIARLANE RENTAL PROPERTY MANAGEMENT INC.,PRIVATE,4153945,725  EGLINTON AVE W,12,1950,,2017,,,725 EGLINTON AVE W,43.7014521704,-79.4222090371,POINT (-79.4222090371 43.7014521704),12,Toronto-St. Paul's,Toronto-St. Paul's (12),101,Forest Hill South,Not an NIA or Emerging Neighbourhood,NA,1,4,7,28,4,7,28,32,32,1.0
3001,Not Available,5,25,,PRIVATE,4153951,564  EGLINTON AVE W,08,1957,,2017,,,564 EGLINTON AVE W,43.7031541679,-79.4167347676,POINT (-79.4167347676 43.7031541679),08,Eglinton-Lawrence,Eglinton-Lawrence (08),102,Forest Hill North,Not an NIA or Emerging Neighbourhood,NA,1,3,5,23,3,5,23,26,26,1.0
3002,Not Available,3,11,TCH,TCHC,4153407,76  GRANGE AVE ,10,1993,,2017,,,76 GRANGE AVE,43.652192629,-79.396788053,POINT (-79.396788053 43.652192629),10,Spadina-Fort York,Spadina-Fort York (10),078,Kensington-Chinatown,Not an NIA or Emerging Neighbourhood,NA,1,2,3,10,2,3,10,12,12,1.0
3003,0 indoor parking spots and 6 outdoor parking spots,3,28,HOMES FIRST SOCIETY,SOCIAL HOUSING,4153417,87  BELLEVUE AVE ,11,1885,,2017,0,6,87 BELLEVUE AVE,43.656179273,-79.40360132,POINT (-79.40360132 43.656179273),11,University-Rosedale,University-Rosedale (11),078,Kensington-Chinatown,Not an NIA or Emerging Neighbourhood,NA,1,3,6,26,-3,0,26,23,29,0.7931034482758621
3004,0 indoor parking spots and 30 outdoor parking spots,4,16,NFPA GROUP,PRIVATE,4153418,99  BELLEVUE AVE ,11,1988,,2018,0,30,99 BELLEVUE AVE,43.656693312,-79.403904864,POINT (-79.403904864 43.656693312),11,University-Rosedale,University-Rosedale (11),078,Kensington-Chinatown,Not an NIA or Emerging Neighbourhood,NA,1,2,4,15,-28,-26,15,-13,17,-0.7647058823529411
3005,10 indoor parking spots and 0 outdoor parking spots,6,31,AKELIUS CANADA LTD,PRIVATE,4153971,2400  BATHURST ST ,08,1953,2014,2019,10,0,2400 BATHURST ST,43.7050294504,-79.4269669508,POINT (-79.4269669508 43.7050294504),08,Eglinton-Lawrence,Eglinton-Lawrence (08),102,Forest Hill North,Not an NIA or Emerging Neighbourhood,NA,1,4,7,28,4,7,18,22,32,0.6875
3006,10 indoor parking spots and 0 outdoor parking spots,10,83,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,4153973,2500  BATHURST ST ,08,1976,2006,2017,10,0,2500 BATHURST ST,43.7058074036,-79.426918953,POINT (-79.426918953 43.7058074036),08,Eglinton-Lawrence,Eglinton-Lawrence (08),102,Forest Hill North,Not an NIA or Emerging Neighbourhood,NA,1,9,17,75,9,17,65,74,84,0.8809523809523809
3007,Not Available,11,241,BRADLEY COURT LTD.,PRIVATE,4153443,280  DUNDAS ST E,13,1973,2005,2017,,,280 DUNDAS ST E,43.6584811745,-79.3719261905,POINT (-79.3719261905 43.6584811745),13,Toronto Centre,Toronto Centre (13),073,Moss Park,Not an NIA or Emerging Neighbourhood,NA,1,25,49,217,25,49,217,242,242,1.0
3008,Not Available,4,11,AYKLER & CO REALTY,PRIVATE,4153446,80-82  PEMBROKE ST ,13,1920,,2017,,,80-82 PEMBROKE ST,43.6590517197,-79.3730588983,POINT (-79.3730588983 43.6590517197),13,Toronto Centre,Toronto Centre (13),073,Moss Park,Not an NIA or Emerging Neighbourhood,NA,1,2,3,10,2,3,10,12,12,1.0
3009,Not Available,3,27,J&F GONCALVES,PRIVATE,4155280,164  BERRY RD ,03,1952,,2017,,,164 BERRY RD,43.6369236012,-79.4910603874,POINT (-79.4910603874 43.6369236012),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,19,1,2,19,20,20,1.0
3010,Not Available,4,32,GILINDO MARCOCCHIO LIMITED,PRIVATE,4155282,172  BERRY RD ,03,1954,2005,,,,172 BERRY RD,43.636679641,-79.492405423,POINT (-79.492405423 43.636679641),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,2,3,22,2,3,22,24,24,1.0
3011,Not Available,4,19,KACH INVESTMENT CORP,PRIVATE,4155283,10  KINGS POINT DR ,03,1958,,2017,,,10 KINGS POINT DR,43.6398314682,-79.4928529071,POINT (-79.4928529071 43.6398314682),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,13,1,2,13,14,14,1.0
3012,Not Available,4,23,AKELIUS CANADA LTD,PRIVATE,4155291,39  RIVERWOOD PKWY ,03,1957,,2018,,,39 RIVERWOOD PKWY,43.6403890443,-79.4907013619,POINT (-79.4907013619 43.6403890443),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,16,1,2,16,17,17,1.0
3013,Not Available,3,12,CHURCH 18 HOLDINGS INC.,PRIVATE,4155872,592  CHURCH ST ,13,1910,,2017,,,592 CHURCH ST,43.667031521,-79.3817873,POINT (-79.3817873 43.667031521),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,2,3,11,2,3,11,13,13,1.0
3014,0 indoor parking spots and 10 outdoor parking spots,4,71,GREENWIN CORP. ,PRIVATE,4155881,65 A  HILLSIDE DR ,14,1954,,2017,0,10,65 A HILLSIDE DR,43.6897018875,-79.3561857803,POINT (-79.3561857803 43.6897018875),14,Toronto-Danforth,Toronto-Danforth (14),057,Broadview North,Not an NIA or Emerging Neighbourhood,NA,1,8,15,64,-2,5,64,62,72,0.8611111111111112
3015,20 indoor parking spots and 15 outdoor parking spots,16,218,VERTICA RESIDENT SERVICES,PRIVATE,4155905,95  HIGH PARK AVE ,04,1969,2012,2017,20,15,95 HIGH PARK AVE,43.656787584,-79.466157347,POINT (-79.466157347 43.656787584),04,Parkdale-High Park,Parkdale-High Park (04),088,High Park North,Not an NIA or Emerging Neighbourhood,NA,1,22,44,197,7,29,177,184,219,0.8401826484018264
3016,Not Available,3,30,"MENICUCCI, POMPILIO; MENICUCCI, FRANCES; MENICUCCI, MARIO; MENICUCCI, IVA",PRIVATE,4152667,130  FOXRIDGE DR ,20,1962,,2017,,,130 FOXRIDGE DR,43.7242519745,-79.2657615108,POINT (-79.2657615108 43.7242519745),20,Scarborough Southwest,Scarborough Southwest (20),124,Kennedy Park,Neighbourhood Improvement Area,NIA,2,2,3,21,2,3,21,23,23,1.0
3017,Not Available,6,65,RYDEL MANAGEMENT INC.,PRIVATE,4152676,829  BIRCHMOUNT RD ,20,1961,2011,2017,,,829 BIRCHMOUNT RD,43.7290106156,-79.2769309728,POINT (-79.2769309728 43.7290106156),20,Scarborough Southwest,Scarborough Southwest (20),125,Ionview,Neighbourhood Improvement Area,NIA,2,3,5,45,3,5,45,48,48,1.0
3018,Not Available,9,93,BRIARLANE RENTAL PROPERTY MANAGEMENT INC,PRIVATE,4154291,2110  KEELE ST ,05,1961,2009,2017,,,2110 KEELE ST,43.6999973614,-79.4766756216,POINT (-79.4766756216 43.6999973614),05,York South-Weston,York South-Weston (05),030,Brookhaven-Amesbury,Not an NIA or Emerging Neighbourhood,NA,1,10,19,84,10,19,84,94,94,1.0
3019,Not Available,3,11,2579024 ONTARIO INC,PRIVATE,4154303,16  ARROWSMITH AVE ,05,1953,,2018,,,16 ARROWSMITH AVE,43.7043754257,-79.4779098871,POINT (-79.4779098871 43.7043754257),05,York South-Weston,York South-Weston (05),030,Brookhaven-Amesbury,Not an NIA or Emerging Neighbourhood,NA,1,2,3,10,2,3,10,12,12,1.0
3020,Not Available,3,12,,PRIVATE,4154307,2423  KEELE ST ,05,1954,,2017,,,2423 KEELE ST,43.710785688,-79.4782587773,POINT (-79.4782587773 43.710785688),05,York South-Weston,York South-Weston (05),029,Maple Leaf,Not an NIA or Emerging Neighbourhood,NA,2,1,1,9,1,1,9,10,10,1.0
3021,0 indoor parking spots and 20 outdoor parking spots,17,216,HAZELVIEW PROPERTY SERVICES INC,PRIVATE,4154813,110  PARKWAY FOREST DR ,17,1967,2016,2017,0,20,110 PARKWAY FOREST DR,43.7741358989,-79.3429451779,POINT (-79.3429451779 43.7741358989),17,Don Valley North,Don Valley North (17),053,Henry Farm,Not an NIA or Emerging Neighbourhood,NA,2,8,16,147,-12,-4,147,135,155,0.8709677419354839
3022,Not Available,5,45,TRIVEST DEVELOPMENTS CORPORATION,PRIVATE,4155294,2655  BLOOR ST W,03,1940,,2017,,,2655 BLOOR ST W,43.6494614357,-79.495683937,POINT (-79.495683937 43.6494614357),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,2,4,31,2,4,31,33,33,1.0
3023,Not Available,10,56,FOREST GATE LIVING,PRIVATE,4155299,4875  DUNDAS ST W,03,1968,,2017,,,4875 DUNDAS ST W,43.6495469253,-79.5275324793,POINT (-79.5275324793 43.6495469253),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),158,Islington,Not an NIA or Emerging Neighbourhood,NA,2,2,4,39,2,4,39,41,41,1.0
3024,Not Available,3,26,ORCHARD APARTMENTS (307) INC,PRIVATE,4155310,307  THE KINGSWAY  ,02,1962,,2017,,,307 THE KINGSWAY,43.6646746732,-79.5222520533,POINT (-79.5222520533 43.6646746732),02,Etobicoke Centre,Etobicoke Centre (02),009,Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood,NA,2,1,2,18,1,2,18,19,19,1.0
3025,10 indoor parking spots and 10 outdoor parking spots,4,34,,PRIVATE,4155311,309  THE KINGSWAY  ,02,1955,,2017,10,10,309 THE KINGSWAY,43.6648936941,-79.522593185,POINT (-79.522593185 43.6648936941),02,Etobicoke Centre,Etobicoke Centre (02),009,Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood,NA,2,2,3,24,-8,-7,14,6,26,0.23076923076923078
3026,Not Available,7,105,PRINCESS MANAGEMENT,PRIVATE,4155928,41  WARRENDER AVE ,02,1971,2010,2017,,,41 WARRENDER AVE,43.676012059,-79.553552325,POINT (-79.553552325 43.676012059),02,Etobicoke Centre,Etobicoke Centre (02),010,Princess-Rosethorn,Not an NIA or Emerging Neighbourhood,NA,2,4,8,72,4,8,72,76,76,1.0
3027,Not Available,6,84,GOLD SEAL MANAGEMENT INC.,PRIVATE,4155938,10  TRUDELLE ST ,21,1964,2006,2017,,,10 TRUDELLE ST,43.7402066562,-79.2449174192,POINT (-79.2449174192 43.7402066562),21,Scarborough Centre,Scarborough Centre (21),138,Eglinton East,Neighbourhood Improvement Area,NIA,2,3,6,58,3,6,58,61,61,1.0
3028,Not Available,15,201,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4155942,2743  VICTORIA PARK AVE ,22,1971,1997,2017,,,2743 VICTORIA PARK AVE,43.779266937,-79.323413406,POINT (-79.323413406 43.779266937),22,Scarborough-Agincourt,Scarborough-Agincourt (22),147,L'Amoreaux West,Emerging Neighbourhood,EN,2,8,15,137,8,15,137,145,145,1.0
3029,Not Available,4,28,,SOCIAL HOUSING,4155977,37  DURNFORD RD ,25,1992,,2018,,,37 DURNFORD RD,43.79936022,-79.150044554,POINT (-79.150044554 43.79936022),25,Scarborough-Rouge Park,Scarborough-Rouge Park (25),143,West Rouge,Not an NIA or Emerging Neighbourhood,NA,2,1,2,20,1,2,20,21,21,1.0
3030,Not Available,3,180,MORGUARD RESIDENTIAL,PRIVATE,4155978,47  GENERATION BLVD ,25,1975,,2017,,,47 GENERATION BLVD,43.8042090572,-79.1667368141,POINT (-79.1667368141 43.8042090572),25,Scarborough-Rouge Park,Scarborough-Rouge Park (25),143,West Rouge,Not an NIA or Emerging Neighbourhood,NA,2,7,13,123,7,13,123,130,130,1.0
3031,Not Available,7,130,PINEDALE PROPERTIES LTD,PRIVATE,4155995,27  BERGAMOT AVE ,01,1960,2022,2017,,,27 BERGAMOT AVE,43.715262532,-79.556650611,POINT (-79.556650611 43.715262532),01,Etobicoke North,Etobicoke North (01),004,Rexdale-Kipling,Not an NIA or Emerging Neighbourhood,NA,2,5,10,89,5,10,89,94,94,1.0
3032,Not Available,10,132,TCH,TCHC,4156016,3735  DUNDAS ST W,04,1972,1999,2017,,,3735 DUNDAS ST W,43.665189036,-79.499393828,POINT (-79.499393828 43.665189036),04,Parkdale-High Park,Parkdale-High Park (04),114,Lambton Baby Point,Not an NIA or Emerging Neighbourhood,NA,1,14,27,119,14,27,119,133,133,1.0
3033,Not Available,9,101,CAPREIT,PRIVATE,4152687,2283  EGLINTON AVE E,20,1964,,2017,,,2283 EGLINTON AVE E,43.7305583723,-79.2723812981,POINT (-79.2723812981 43.7305583723),20,Scarborough Southwest,Scarborough Southwest (20),125,Ionview,Neighbourhood Improvement Area,NIA,2,4,8,69,4,8,69,73,73,1.0
3034,Not Available,6,79,709 KENNEDY HOLDINGS,PRIVATE,4152690,709  KENNEDY RD ,20,1958,2005,2017,,,709 KENNEDY RD,43.7281374387,-79.2656668508,POINT (-79.2656668508 43.7281374387),20,Scarborough Southwest,Scarborough Southwest (20),124,Kennedy Park,Neighbourhood Improvement Area,NIA,2,3,6,54,3,6,54,57,57,1.0
3035,0 indoor parking spots and 0 outdoor parking spots,9,110,NORTHVIEW APARTMENT REIT,PRIVATE,4152692,1  ROSEMOUNT DR ,21,1972,,2017,0,0,1 ROSEMOUNT DR,43.7315303371,-79.2739396307,POINT (-79.2739396307 43.7315303371),21,Scarborough Centre,Scarborough Centre (21),125,Ionview,Neighbourhood Improvement Area,NIA,2,4,8,75,4,8,75,79,79,1.0
3036,Not Available,5,33,MONTEREY PARK INC.,PRIVATE,4152705,815  KENNEDY RD ,21,1969,2017,2017,,,815 KENNEDY RD,43.7343403668,-79.2681240316,POINT (-79.2681240316 43.7343403668),21,Scarborough Centre,Scarborough Centre (21),125,Ionview,Neighbourhood Improvement Area,NIA,2,2,3,23,2,3,23,25,25,1.0
3037,Not Available,3,21,,PRIVATE,4154318,2643  KEELE ST ,05,1955,,2017,,,2643 KEELE ST,43.7214377467,-79.4800527755,POINT (-79.4800527755 43.7214377467),05,York South-Weston,York South-Weston (05),029,Maple Leaf,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,1,2,15,16,16,1.0
3038,0 indoor parking spots and 12 outdoor parking spots,4,32,AMG APARTMENTS INC,PRIVATE,4154324,1809  LAWRENCE AVE W,05,1961,2016,2017,0,12,1809 LAWRENCE AVE W,43.703038028,-79.501404509,POINT (-79.501404509 43.703038028),05,York South-Weston,York South-Weston (05),030,Brookhaven-Amesbury,Not an NIA or Emerging Neighbourhood,NA,1,4,7,29,-8,-5,29,21,33,0.6363636363636364
3039,Not Available,3,28,,PRIVATE,4154325,1605  JANE ST ,05,1958,,2017,,,1605 JANE ST,43.700297074,-79.5025588448,POINT (-79.5025588448 43.700297074),05,York South-Weston,York South-Weston (05),030,Brookhaven-Amesbury,Not an NIA or Emerging Neighbourhood,NA,1,3,6,26,3,6,26,29,29,1.0
3040,Not Available,16,164,R A B PROPERTIES LIMITED,PRIVATE,4154835,8  GODSTONE RD ,17,1965,,2017,,,8 GODSTONE RD,43.7801532474,-79.3463837726,POINT (-79.3463837726 43.7801532474),17,Don Valley North,Don Valley North (17),047,Don Valley Village,Not an NIA or Emerging Neighbourhood,NA,2,6,12,112,6,12,112,118,118,1.0
3041,51 indoor parking spots and 0 outdoor parking spots,14,189,SCHICKEDANZ BROS. PROPERTIES,PRIVATE,4154845,50  RUDDINGTON DR ,17,1968,2012,2017,51,0,50 RUDDINGTON DR,43.7904933942,-79.3906931297,POINT (-79.3906931297 43.7904933942),17,Don Valley North,Don Valley North (17),049,Bayview Woods-Steeles,Not an NIA or Emerging Neighbourhood,NA,2,7,14,129,7,14,78,85,136,0.625
3042,0 indoor parking spots and 5 outdoor parking spots,10,122,PRINCESS MANAGEMENT,PRIVATE,4155337,1137  ROYAL YORK RD ,02,1963,2009,2017,0,5,1137 ROYAL YORK RD,43.661225213,-79.515144165,POINT (-79.515144165 43.661225213),02,Etobicoke Centre,Etobicoke Centre (02),009,Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood,NA,2,5,9,83,0,4,83,83,88,0.9431818181818182
